ne_ccor,codigo_ug,tabela,schema
2023NE000475,202300,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000170,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000424,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000425,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000630,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000666,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000706,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000707,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2024NE000709,202400,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000021,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000041,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000045,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000048,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000053,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000054,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000059,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000065,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000071,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000072,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000082,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000106,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000122,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000129,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000131,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000132,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000172,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000183,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000194,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000207,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000208,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000226,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000229,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000232,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000296,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000305,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000309,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000310,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000347,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000421,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000471,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000514,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000517,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000518,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000519,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000521,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000525,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000546,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000555,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000558,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000567,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000570,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000574,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000597,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000603,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000604,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000605,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000606,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000607,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000608,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000609,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000610,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000612,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000614,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000618,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000619,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000628,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000645,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000648,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000663,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000664,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000665,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000666,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000667,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000668,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000672,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000673,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000675,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000676,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000682,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000685,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000687,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000689,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000690,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000709,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000710,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000712,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000713,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000714,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000715,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000717,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000719,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000720,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000721,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000723,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000724,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000725,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000726,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000727,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000728,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000729,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000732,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000735,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000739,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000740,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000741,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000742,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000743,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000745,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000746,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000747,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000750,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000759,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000766,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000768,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000777,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000779,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000780,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000781,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000786,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000803,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000805,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000806,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000807,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000808,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000809,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000810,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2025NE000811,202500,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000009,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000010,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000012,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000013,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000025,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000034,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000035,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000067,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000068,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000071,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000072,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000073,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000074,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000087,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000088,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000089,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000090,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000092,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000093,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000094,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000095,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000096,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000097,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000098,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000123,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000124,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000127,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000129,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000135,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000136,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000137,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000138,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000139,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000140,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000141,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000142,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000143,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000157,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000158,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000159,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000160,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000162,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000163,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000166,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000168,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000170,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000171,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000172,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000173,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000174,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000175,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000179,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000181,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000182,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000183,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000184,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000185,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000186,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000189,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000191,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000192,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000193,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000194,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000195,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000196,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000197,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000198,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000199,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000200,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000201,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000202,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000203,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000204,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000206,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000207,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000208,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000209,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000210,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000211,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000212,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000213,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000214,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000215,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000216,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000217,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000218,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000219,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000220,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000221,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000222,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000223,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000224,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000225,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000226,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000227,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000228,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000229,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000230,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000231,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000232,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000233,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000234,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000235,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000236,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000237,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000238,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000240,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000241,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000243,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000244,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000248,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000249,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000250,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000252,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000254,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000255,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000256,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000257,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000259,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000260,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000261,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000273,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000277,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000306,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000310,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000319,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000320,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000330,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000331,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000332,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000335,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000343,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000349,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000350,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000369,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000372,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000373,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000374,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000375,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000377,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000378,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000379,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000380,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000381,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000382,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000383,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000384,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000385,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000386,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000387,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000388,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000389,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000391,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000395,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
2026NE000408,202600,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main
110794000012026NE000002,110794,p_trab_2025_controle_por_dor_executado,main
110794000012026NE000003,110794,p_trab_2025_controle_por_dor_executado,main
110794000012026NE000004,110794,p_trab_2025_controle_por_dor_executado,main
110794000012026NE000001,110794,p_trab_2025_controle_por_dor_executado,main
110794000012026NE000001,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000002,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000003,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000004,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000005,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000006,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000007,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000008,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000009,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000010,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000011,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000012,110794,plano_de_trabalho_2026_executado,main
