ne_ccor,codigo_ug,tabela,schema,formato_ne
2023NE000475,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000170,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000424,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000425,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000630,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000666,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000706,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000707,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2024NE000709,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000021,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000041,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000045,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000048,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000053,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000054,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000059,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000065,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000071,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000072,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000082,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000106,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000122,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000129,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000131,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000132,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000172,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000183,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000194,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000207,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000208,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000226,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000229,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000232,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000296,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000305,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000309,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000310,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000347,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000421,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000471,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000514,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000517,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000518,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000519,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000521,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000525,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000546,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000555,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000558,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000567,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000570,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000574,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000597,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000603,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000604,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000605,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000606,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000607,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000608,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000609,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000610,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000612,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000614,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000618,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000619,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000628,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000645,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000648,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000663,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000664,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000665,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000666,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000667,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000668,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000672,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000673,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000675,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000676,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000682,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000685,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000687,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000689,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
